,Location,ad_id,ad_link,energy_label,lat,local_area_name,lon,property_type_description,size_from,type,byggear_cat,ownership_cat,"lat,lon"
86,"Søndre Kleivesmauet 1B, Bergen",260875826,https://www.finn.no/realestate/homes/ad.html?finnkode=260875826,7,60.3996,,5.32436,Leilighet,79.0,realestate,0,1,"60.3996,5.32436"
87,"Allégaten 28, Bergen",260795514,https://www.finn.no/realestate/homes/ad.html?finnkode=260795514,7,60.38611,,5.32715,Leilighet,77.0,realestate,0,1,"60.38611,5.32715"
88,"Klostergaten 10, Bergen",260680158,https://www.finn.no/realestate/homes/ad.html?finnkode=260680158,7,60.39408,NORDNES / KLOSTERET,5.31722,Leilighet,57.0,realestate,0,1,"60.39408,5.31722"
89,"Torbjørnshaugen 10, Berger",260543218,https://www.finn.no/realestate/homes/ad.html?finnkode=260543218,7,59.5451,Berger,10.3716,Enebolig,258.0,realestate,0,1,"59.5451,10.3716"
90,"Munkebekksmauet 8, Bergen",260458851,https://www.finn.no/realestate/homes/ad.html?finnkode=260458851,7,60.39454,Nordnes / Sentrum,5.31448,Leilighet,73.0,realestate,0,1,"60.39454,5.31448"
91,"Rathkes gate 12A, Oslo",259744382,https://www.finn.no/realestate/homes/ad.html?finnkode=259744382,7,59.9215,Grünerløkka,10.7644,Leilighet,41.0,realestate,0,1,"59.9215,10.7644"
92,"Arups gate 22A, Oslo",260146794,https://www.finn.no/realestate/homes/ad.html?finnkode=260146794,7,59.90695,# Gamle Oslo,10.77186,Leilighet,30.0,realestate,0,2,"59.90695,10.77186"
93,"Snekkvikveien 16, Kvenvær",230644961,https://www.finn.no/realestate/homes/ad.html?finnkode=230644961,7,63.504,Hitra/Kvenvær,8.3737,Enebolig,87.0,realestate,0,1,"63.504,8.3737"
94,"Sandvigveien 168, Kolbjørnsvik",259604017,https://www.finn.no/realestate/homes/ad.html?finnkode=259604017,7,58.43861,,8.78003,Enebolig,88.0,realestate,0,1,"58.43861,8.78003"
95,"Øyavegen 4, 6, 6B og 8, Nannestad",240362004,https://www.finn.no/realestate/homes/ad.html?finnkode=240362004,7,60.18262,Hauen Gård,11.04339,Enebolig,586.0,realestate,0,1,"60.18262,11.04339"
97,"Nikolaikirkeallmenningen 5A, Bergen",259121846,https://www.finn.no/realestate/homes/ad.html?finnkode=259121846,7,60.39762,Sentrum,5.32676,Leilighet,92.0,realestate,0,1,"60.39762,5.32676"
98,"Kystveien 141, Sømna",258973772,https://www.finn.no/realestate/homes/ad.html?finnkode=258973772,7,65.36848,,12.19742,Enebolig,157.0,realestate,0,1,"65.36848,12.19742"
99,"Grensen 1B, Sellebakk",258303050,https://www.finn.no/realestate/homes/ad.html?finnkode=258303050,7,59.2265,Sellebakk,10.9902,Enebolig,169.0,realestate,0,1,"59.2265,10.9902"
100,"Tånevigveien 48, Søgne",257695958,https://www.finn.no/realestate/homes/ad.html?finnkode=257695958,7,58.05135,,7.64843,Enebolig,122.0,realestate,0,1,"58.05135,7.64843"
101,"Nøklebystranda 7, Fredrikstad",257491700,https://www.finn.no/realestate/homes/ad.html?finnkode=257491700,7,59.23208,NØKLEBY,10.98834,Enebolig,125.0,realestate,0,1,"59.23208,10.98834"
102,"Hessavegen 78, Ålesund",256514096,https://www.finn.no/realestate/homes/ad.html?finnkode=256514096,7,62.4595,Hessa,6.1339,Enebolig,68.0,realestate,0,1,"62.4595,6.1339"
103,"Gamlevegen 80, Fiskå",256498188,https://www.finn.no/realestate/homes/ad.html?finnkode=256498188,7,62.10664,Myrset,5.57819,Enebolig,253.0,realestate,0,1,"62.10664,5.57819"
104,"Wessels gate 5B, Trondheim",254217562,https://www.finn.no/realestate/homes/ad.html?finnkode=254217562,7,63.4346,Møllenberg,10.417,Leilighet,45.0,realestate,0,1,"63.4346,10.417"
105,"Hanahaug 5, Leikanger",252887442,https://www.finn.no/realestate/homes/ad.html?finnkode=252887442,7,61.18341,,6.7973,Leilighet,70.0,realestate,0,1,"61.18341,6.7973"
106,"Helgerødgata 61, Moss",250547079,https://www.finn.no/realestate/homes/ad.html?finnkode=250547079,7,59.4334,Jeløya,10.6352,Enebolig,256.0,realestate,0,1,"59.4334,10.6352"
107,"Havnegata 33B, Vadsø",228601884,https://www.finn.no/realestate/homes/ad.html?finnkode=228601884,7,70.07572,,29.73842,Enebolig,72.0,realestate,0,1,"70.07572,29.73842"
109,"Grefsenveien 6D, Oslo",261143993,https://www.finn.no/realestate/homes/ad.html?finnkode=261143993,6,59.94167,ØVRE TORSHOV / SANDAKER,10.77154,Leilighet,45.0,realestate,0,3,"59.94167,10.77154"
110,"Bogstadveien 9A, inngang fra Sporveisgata, Oslo",256699387,https://www.finn.no/realestate/homes/ad.html?finnkode=256699387,6,59.92492,Velkommen til Majorstuen,10.72518,Leilighet,78.0,realestate,0,1,"59.92492,10.72518"
111,"Jacob Aalls gate 5B, Oslo",260745833,https://www.finn.no/realestate/homes/ad.html?finnkode=260745833,6,59.9259,Vestkanttorget/Majorstuen,10.7128,Leilighet,77.0,realestate,0,1,"59.9259,10.7128"
112,"Bygdøy alle 115 B, Oslo",260903517,https://www.finn.no/realestate/homes/ad.html?finnkode=260903517,6,59.91886,Nedre Frogner/Skøyen,10.6895,Leilighet,95.0,realestate,0,1,"59.91886,10.6895"
113,"Schouterrassen 19, Oslo",260026495,https://www.finn.no/realestate/homes/ad.html?finnkode=260026495,6,59.9311,Populære Rosenhoff / Sinsen,10.7822,Leilighet,50.0,realestate,0,2,"59.9311,10.7822"
114,"Gjøvikgata 1A, Oslo",260424487,https://www.finn.no/realestate/homes/ad.html?finnkode=260424487,6,59.9388,BJØLSEN/SAGENE,10.7598,Leilighet,63.0,realestate,0,3,"59.9388,10.7598"
115,"Olav Kyrres gate 42, Bergen",260472600,https://www.finn.no/realestate/homes/ad.html?finnkode=260472600,6,60.38866,Bergen sentrum,5.32133,Leilighet,59.0,realestate,0,1,"60.38866,5.32133"
116,"Trondheimsveien 155, Oslo",260009465,https://www.finn.no/realestate/homes/ad.html?finnkode=260009465,6,59.931,ROSENHOFF,10.7788,Leilighet,43.0,realestate,0,1,"59.931,10.7788"
117,"Dramsvegen 185, Tromsø",258578625,https://www.finn.no/realestate/homes/ad.html?finnkode=258578625,6,69.67406,,18.96469,Leilighet,40.0,realestate,0,1,"69.67406,18.96469"
118,"Bråvann Platå 71, Kristiansand S",193394294,https://www.finn.no/realestate/homes/ad.html?finnkode=193394294,7,58.11583,Bråvann,7.93208,Leilighet,78.0,realestate,6,1,"58.11583,7.93208"
120,"Ørtangen 10A, Vadsø",217297889,https://www.finn.no/realestate/homes/ad.html?finnkode=217297889,7,70.07096,,29.74706,Enebolig,288.0,realestate,6,1,"70.07096,29.74706"
121,"STRANDGATEN 64 Leil 7, Egersund",116824003,https://www.finn.no/realestate/homes/ad.html?finnkode=116824003,7,58.45094,,5.99791,Enebolig,62.0,realestate,6,1,"58.45094,5.99791"
122,"STRANDGATEN 64 Leil. 2, Egersund",116820486,https://www.finn.no/realestate/homes/ad.html?finnkode=116820486,7,58.45093,,5.99816,Leilighet,45.0,realestate,6,1,"58.45093,5.99816"
123,"Strandgaten 64 Leil. 5, Egersund",116822923,https://www.finn.no/realestate/homes/ad.html?finnkode=116822923,7,58.45094,,5.99819,Leilighet,42.0,realestate,6,1,"58.45094,5.99819"
124,"Badebakken 8, Oslo",261364101,https://www.finn.no/realestate/homes/ad.html?finnkode=261364101,3,59.94639,"Nydalen, med Akerselva som nabo",10.76167,Leilighet,59.0,realestate,3,1,"59.94639,10.76167"
125,"Skjervane 57, Fiskarstrand",261351453,https://www.finn.no/realestate/homes/ad.html?finnkode=261351453,3,62.4369,FISKARSTRAND,6.2663,Enebolig,131.0,realestate,3,1,"62.4369,6.2663"
126,"Nedre Solhellinga 7D, Jessheim",260878073,https://www.finn.no/realestate/homes/ad.html?finnkode=260878073,3,60.1505,JESSHEIM / SAND,11.1287,Leilighet,95.0,realestate,3,1,"60.1505,11.1287"
127,"Grimstadvegen 422, Søreidgrend",260920858,https://www.finn.no/realestate/homes/ad.html?finnkode=260920858,3,60.316,,5.22877,Tomannsbolig,140.0,realestate,3,1,"60.316,5.22877"
128,"Sagabrinken 32, Alta",260544366,https://www.finn.no/realestate/homes/ad.html?finnkode=260544366,3,69.9577,Saga,23.424,Enebolig,203.0,realestate,3,1,"69.9577,23.424"
129,"Løvsangervegen 22, Vennesla",260879587,https://www.finn.no/realestate/homes/ad.html?finnkode=260879587,3,58.25489,"Påmeldingsvisning, man 13/6 kl.16:30!",7.98028,Enebolig,153.0,realestate,3,1,"58.25489,7.98028"
130,"Flatebøvegen 15, Vormedal",260754599,https://www.finn.no/realestate/homes/ad.html?finnkode=260754599,3,59.3537,Vormedal,5.3283,Enebolig,151.0,realestate,3,1,"59.3537,5.3283"
131,"Finnsetervegen 13, Kvaløya",260678189,https://www.finn.no/realestate/homes/ad.html?finnkode=260678189,3,69.68162,STORELVA,18.76972,Enebolig,145.0,realestate,3,1,"69.68162,18.76972"
132,"Lindeveien 32A, Krokstadelva",260593193,https://www.finn.no/realestate/homes/ad.html?finnkode=260593193,3,59.76,Krokstadelva,10.0234,Tomannsbolig,228.0,realestate,3,1,"59.76,10.0234"
133,"Parkalleen 6, Lillestrøm",260063992,https://www.finn.no/realestate/homes/ad.html?finnkode=260063992,3,59.958,LILLESTRØM SENTRUM,11.0474,Leilighet,82.0,realestate,3,1,"59.958,11.0474"
134,"Navrastikksmyro 3C, Stord",259630507,https://www.finn.no/realestate/homes/ad.html?finnkode=259630507,3,59.7643,Valvatna,5.4381,Enebolig,100.0,realestate,3,1,"59.7643,5.4381"
135,"Olufsborg 12, Elverum",259566788,https://www.finn.no/realestate/homes/ad.html?finnkode=259566788,3,60.89639,SØBAKKEN,11.58088,Enebolig,164.0,realestate,3,1,"60.89639,11.58088"
136,"Øvregata 53D, Vinstra",259472003,https://www.finn.no/realestate/homes/ad.html?finnkode=259472003,3,61.5966,Vinstra sentrum,9.746,Leilighet,70.0,realestate,3,1,"61.5966,9.746"
137,"Trondhjemsvegen 5, Gjøvik",232249483,https://www.finn.no/realestate/homes/ad.html?finnkode=232249483,3,60.79737,GJØVIK,10.69021,Leilighet,106.0,realestate,3,2,"60.79737,10.69021"
